Date,Home-team,Goals,Away-team
23-02-2024,Columbus Crew,1 - 0,Atlanta United
09-03-2024,Atlanta United,4 - 1,New England
16-03-2024,Atlanta United,2 - 0,Orlando City SC
22-03-2024,Toronto,2 - 0,Atlanta United
30-03-2024,Atlanta United,3 - 0,Chicago Fire
05-04-2024,New York City,1 - 1,Atlanta United
13-04-2024,Atlanta United,2 - 2,Philadelphia Union
19-04-2024,Atlanta United,1 - 2,Cincinnati
27-04-2024,Chicago Fire,0 - 0,Atlanta United
03-05-2024,Atlanta United,1 - 2,Minnesota United
10-05-2024,Atlanta United,2 - 3,DC United
14-05-2024,Cincinnati,1 - 0,Atlanta United
17-05-2024,Nashville SC (MLS),1 - 1,Atlanta United
24-05-2024,Atlanta United,0 - 1,Los Angeles FC
28-05-2024,Club Internacional de Fútbol Miami,1 - 3,Atlanta United
01-06-2024,Atlanta United,2 - 3,Charlotte
14-06-2024,Atlanta United,2 - 2,Houston Dynamo
18-06-2024,DC United,0 - 1,Atlanta United
22-06-2024,Saint Louis City,1 - 1,Atlanta United
28-06-2024,Atlanta United,2 - 1,Toronto
02-07-2024,New England,2 - 1,Atlanta United
06-07-2024,Real Salt Lake,5 - 2,Atlanta United
12-07-2024,Montreal Impact,1 - 0,Atlanta United
16-07-2024,Atlanta United,2 - 2,New York City
19-07-2024,Atlanta United,2 - 1,Columbus Crew
24-08-2024,LA Galaxy,2 - 0,Atlanta United
30-08-2024,Charlotte,0 - 1,Atlanta United
13-09-2024,Atlanta United,0 - 2,Nashville SC (MLS)
17-09-2024,Atlanta United,2 - 2,Club Internacional de Fútbol Miami
20-09-2024,New York RB,2 - 2,Atlanta United
27-09-2024,Philadelphia Union,1 - 1,Atlanta United
01-10-2024,Atlanta United,1 - 2,Montreal Impact
04-10-2024,Atlanta United,2 - 1,New York RB
18-10-2024,Orlando City SC,1 - 2,Atlanta United
21-10-2024,Montreal Impact,2 - 2,Atlanta United
25-10-2024,Club Internacional de Fútbol Miami,2 - 1,Atlanta United
01-11-2024,Atlanta United,2 - 1,Club Internacional de Fútbol Miami
09-11-2024,Club Internacional de Fútbol Miami,2 - 3,Atlanta United
23-11-2024,Orlando City SC,1 - 0,Atlanta United
24-02-2024,Austin,1 - 2,Minnesota United
02-03-2024,Seattle Sounders FC,0 - 0,Austin
09-03-2024,Austin,2 - 2,Saint Louis City
16-03-2024,Austin,2 - 2,Philadelphia Union
22-03-2024,Orlando City SC,2 - 0,Austin
30-03-2024,Austin,2 - 1,Dallas
06-04-2024,Austin,4 - 3,SJ Earthquakes
13-04-2024,Saint Louis City,1 - 0,Austin
20-04-2024,Houston Dynamo,0 - 1,Austin
26-04-2024,Austin,2 - 0,LA Galaxy
04-05-2024,Vancouver Whitecaps,0 - 0,Austin
11-05-2024,Dallas,2 - 1,Austin
15-05-2024,Austin,1 - 0,Houston Dynamo
18-05-2024,Austin,3 - 2,Sporting KC
25-05-2024,SJ Earthquakes,1 - 1,Austin
29-05-2024,Austin,0 - 2,Portland Timbers
01-06-2024,Real Salt Lake,5 - 1,Austin
15-06-2024,Colorado Rapids,2 - 0,Austin
19-06-2024,Austin,1 - 1,Los Angeles FC
22-06-2024,Minnesota United,0 - 1,Austin
29-06-2024,Sporting KC,2 - 0,Austin
06-07-2024,Austin,2 - 1,New York City
13-07-2024,Austin,0 - 1,Seattle Sounders FC
17-07-2024,Dallas,3 - 1,Austin
20-07-2024,Austin,2 - 2,Charlotte
24-08-2024,Nashville SC (MLS),0 - 2,Austin
31-08-2024,Austin,0 - 1,Vancouver Whitecaps
13-09-2024,Toronto,2 - 1,Austin
